,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
49,85.29898444811504,7.5213437019197515,5.321592092514038,0.33034218207147253,50,10,1,log2,20,entropy,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy'}",0.5209352260527258,0.5950137182392938,0.5941964152575229,0.5700484531831808,0.034729898794523345,44
50,48.42009369532267,0.5402380490746895,4.449177821477254,0.11167767243884635,50,10,4,log2,10,entropy,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy'}",0.5200107360133603,0.6319634975545747,0.619426799081447,0.5904670108831274,0.05008231360167415,15
51,127.87879316012065,2.720950723543902,5.725430727005005,0.5289385610058739,80,2,2,log2,30,entropy,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy'}",0.5347727543838722,0.5889299773350829,0.5887984253377472,0.5708337190189007,0.02549900918713754,37
52,33.397122621536255,0.8243292982285569,4.202048460642497,0.12131784657101193,20,2,10,log2,,entropy,"{'n_estimators': 20, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.5134200167004652,0.5945067398306095,0.5911246309385345,0.5663504624898698,0.03745293698975896,90
53,128.29439902305603,2.3920187613660238,5.188845793406169,0.2807220750578723,80,15,1,log2,30,entropy,"{'n_estimators': 80, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy'}",0.5254085649528808,0.5893773112250984,0.5904983448152455,0.5684280736644083,0.030422828888993312,72
54,96.66991901397705,1.6980072358002696,4.998753945032756,0.704453903772462,100,10,10,log2,,gini,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': None, 'criterion': 'gini'}",0.5180722891566265,0.5986520338780866,0.5947034087858997,0.570475910606871,0.03709000373735085,41
55,77.28319478034973,0.9075241560080858,5.613352696100871,0.2815869858487331,80,15,10,log2,30,gini,"{'n_estimators': 80, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'gini'}",0.517386377191936,0.597459143504712,0.594315707852435,0.5697204095163609,0.03702799392734701,48
56,86.15606840451558,0.9419133754172909,4.630505720774333,0.4168026551215122,50,5,1,log2,,entropy,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.5362340450912562,0.5879160205177144,0.5875160299424413,0.5705553651838039,0.024269387545993292,40
57,110.42542354265849,2.755076315669449,5.770808378855388,0.4786558603829251,80,5,10,log2,,entropy,"{'n_estimators': 80, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.515597041631874,0.5965346534653465,0.5927947272673049,0.5683088074548418,0.037304105709007815,74
58,113.88059600194295,2.2427564692051467,5.429724375406901,0.3066490674120449,50,15,2,sqrt,,entropy,"{'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.5259751878802338,0.5885124657044017,0.5902299364766932,0.5682391966871095,0.029893391207022935,76
59,165.6040983994802,0.8109986114931775,5.694835901260376,0.4385156126179352,100,5,2,log2,,entropy,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.5346236430872003,0.5861565072169868,0.5882616086606424,0.5696805863216099,0.024803895053364458,50
60,208.58615477879843,2.7295985417930164,5.444766441980998,0.2615713389641259,100,15,4,sqrt,30,log_loss,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'log_loss'}",0.5250506978408684,0.5892878444470954,0.5897229429483165,0.5680204950787601,0.03038475422176482,79
61,91.45015525817871,0.9376672505194645,4.952680190404256,0.1907139169366651,50,5,2,log2,,entropy,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.5340271979005129,0.5881545985923894,0.5882914318093704,0.5701577427674241,0.02554821435530915,43
62,141.67620023091635,1.1044981807519025,5.520884195963542,0.2757808032052794,80,15,10,sqrt,20,entropy,"{'n_estimators': 80, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy'}",0.5179231778599547,0.5962364308720028,0.5944350004473472,0.5695315363931016,0.03650003005257298,52
63,36.02570613225301,3.3904778505969735,4.3498250643412275,0.3237180147435482,20,15,2,sqrt,20,gini,"{'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini'}",0.5155075748538709,0.5931349159012287,0.589394888312308,0.5660124596891358,0.03574497163480019,94
64,155.51606345176697,2.5144794657923226,6.249989032745361,0.21329830446978024,100,15,2,sqrt,,gini,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}",0.5268996779195992,0.5904210903018012,0.5898422355432287,0.5690543345882098,0.029808780332246626,64
65,190.1944428284963,2.0105448974681592,4.485480705897014,1.0008075427649124,100,15,10,sqrt,,entropy,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.5177442443039485,0.593403316235238,0.5937192448778742,0.5682889351390202,0.03574072636303995,75
66,124.8750536441803,4.267317133110393,4.417253255844116,0.9069369418503442,80,15,4,log2,30,entropy,"{'n_estimators': 80, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy'}",0.522247405463438,0.5906298461171419,0.5926157883749367,0.5684976799851721,0.03271393089255866,70
67,33.579097509384155,2.2884555939262436,3.4932612578074136,0.8784605089408553,20,2,4,sqrt,20,gini,"{'n_estimators': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini'}",0.52144220446141,0.592836693307885,0.5876353225373535,0.5673047401022161,0.03249915584571696,88
68,113.3062903881073,1.4329421347787072,4.422879934310913,0.041526423003904155,50,10,1,sqrt,,entropy,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.53086603841107,0.5876774424430394,0.5868897438191524,0.568477741557754,0.02659743443111537,71
69,33.43889411290487,0.3489824269284758,4.49730920791626,0.03886341454493872,20,2,10,log2,30,log_loss,"{'n_estimators': 20, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'log_loss'}",0.5164618871525707,0.5965048312060122,0.5922877337389282,0.5684181506991703,0.03677894297062303,73
70,177.26736895243326,4.028347715848522,6.382604042689006,0.1377665517989347,120,10,4,log2,,entropy,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.5282118573303114,0.5909877132291542,0.5905579911127017,0.5699191872240558,0.029492057579666647,47
71,71.37779299418132,0.8972382618189555,5.012563943862915,0.5305725205763392,50,2,4,sqrt,10,log_loss,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'log_loss'}",0.51932482404867,0.6307407849218657,0.6184426351734216,0.5895027480479857,0.04987662702074052,21
72,243.07151118914285,0.4935780026583894,5.08220378557841,0.6915643261544189,120,10,4,sqrt,20,log_loss,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'log_loss'}",0.5212930931647382,0.5953715853513062,0.5959261578837494,0.5708636121332645,0.03505238128649001,36
73,102.6963557402293,1.5448273663062388,6.381083885828654,0.15403900003832366,100,5,10,log2,,gini,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': None, 'criterion': 'gini'}",0.517296910413933,0.5968328760586902,0.5935104828367779,0.5692134231031337,0.036735566703456964,58
74,129.26394518216452,1.3309350632501142,4.904440561930339,0.4608204749174201,80,5,4,log2,30,log_loss,"{'n_estimators': 80, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'log_loss'}",0.52615412143624,0.5889896218537516,0.5879335540246339,0.5676924324382084,0.02937518545175069,83
75,161.59873549143472,0.8543825675709843,5.9979236125946045,0.13581769985042919,120,5,2,sqrt,10,log_loss,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'log_loss'}",0.5226947393534535,0.6318740307765717,0.6208881333691211,0.5918189678330488,0.04908354583521329,4
76,227.54100902875265,1.5364966454493179,4.688833554585774,0.2657112157412977,100,10,1,sqrt,,entropy,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.5303292377430514,0.5885124657044017,0.5882914318093704,0.5690443784189412,0.02737588722654956,65
77,176.3175610701243,5.938602924642593,5.283757209777832,0.15423891875304274,80,10,4,sqrt,,log_loss,"{'n_estimators': 80, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'log_loss'}",0.5269891446976023,0.5881844208517237,0.5908860457487102,0.5686865370993454,0.029505130560629766,68
78,93.0920528570811,7.08442682292033,4.415905952453613,0.5930438246804706,100,15,1,sqrt,10,gini,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}",0.5178038888226172,0.6290707383991411,0.618711043511974,0.5885285569112441,0.05018841052622693,27
79,47.61027471224467,1.4932974773683394,4.221083323160808,0.32194186881139064,20,15,4,sqrt,,entropy,"{'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.5198019801980198,0.5848145055469403,0.5848319465569175,0.5631494774339592,0.03065131007001208,100
80,50.591588815053306,0.8598357656869255,4.523366133371989,0.7048564447855603,50,5,4,log2,20,gini,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini'}",0.5218597160920911,0.597220565430037,0.595657749545197,0.5715793436891085,0.03516287459487194,32
81,182.16230527559915,3.6517003741112073,5.98958683013916,0.8133885684837184,120,2,4,sqrt,30,gini,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.5276452344029584,0.5907491351544794,0.5915719781694552,0.569988782575631,0.02994329442513416,45
82,185.8567554950714,3.5194604628979764,5.50076953570048,0.20574491517178978,120,5,2,log2,20,entropy,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy'}",0.5254383872122153,0.5970416318740308,0.5926157883749367,0.5716986024870608,0.03276077594345527,31
83,180.54934295018515,9.891562513500519,5.621286312739055,0.11360170861587601,120,2,1,log2,20,log_loss,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'log_loss'}",0.5274066563282834,0.595431229869975,0.5966717366019504,0.5731698742667363,0.03236344441186453,29
84,48.68538308143616,1.0758787202028235,4.253685315450032,0.25772298845006403,20,5,2,sqrt,,entropy,"{'n_estimators': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.5306274603363951,0.5850530836216151,0.5869493901166085,0.5675433113582062,0.026114925962996156,86
85,175.48275009791055,2.060487702021227,5.658831040064494,0.0252532470789549,100,5,10,sqrt,,entropy,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.5191160682333293,0.5931050936418943,0.590826399451254,0.5676825204421593,0.034354265353014835,84
86,53.62431494394938,1.0595794664150469,4.949525674184163,0.609586799965385,50,5,10,log2,,gini,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': None, 'criterion': 'gini'}",0.518519623046642,0.596087319575331,0.5920789716978319,0.5688953047732683,0.03565855386153066,67
87,29.71819011370341,1.7993502953592095,4.554389874140422,0.14775594223232974,20,10,2,log2,30,gini,"{'n_estimators': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'gini'}",0.5260050101395681,0.5879458427770488,0.590110643881781,0.5680204989327993,0.029722579126048976,78
88,34.43716740608215,1.2211592889988838,4.781232198079427,0.4979479948608345,20,2,4,log2,20,log_loss,"{'n_estimators': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'log_loss'}",0.5189669569366575,0.5939401169032565,0.5909755151948943,0.5679608630116028,0.034665057720830124,81
89,124.08080832163493,2.0648784196198076,5.903196016947429,0.09319095874430948,80,5,2,sqrt,30,gini,"{'n_estimators': 80, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.5342359537158535,0.5886913992604079,0.5904386985177895,0.5711220171646837,0.026092138295369775,34
90,129.63528068860373,2.5714879926358147,4.559225877126058,1.1301671849939845,100,5,2,sqrt,10,log_loss,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'log_loss'}",0.5184599785279733,0.6324108314445902,0.6189198055530702,0.5899302051752112,0.050836318498078285,18
91,107.5049222310384,6.714993035510432,3.4923744996388755,0.3617041778430995,120,2,10,log2,10,log_loss,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'log_loss'}",0.5205773589407133,0.6300846952165096,0.6232441621186365,0.5913020720919531,0.050087836254654614,8
92,30.333208560943604,1.356812145812723,3.2549930413564048,0.6947075724106438,20,15,10,sqrt,10,log_loss,"{'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'log_loss'}",0.5198019801980198,0.6300250506978409,0.6173690018192121,0.5890653442383575,0.04924837792213957,22
93,33.833548625310264,1.1685717040844008,4.5978007316589355,0.5870727810129449,20,5,4,log2,30,entropy,"{'n_estimators': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy'}",0.5213825599427413,0.5861565072169868,0.589454534609764,0.565664533923164,0.03134101849943621,95
94,35.828522046407066,0.23186960948885216,2.885485808054606,0.2765674442143157,50,10,1,log2,10,gini,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'gini'}",0.5202791363473697,0.6321424311105809,0.6184128120246936,0.5902781264942147,0.04981311458002783,16
95,1501.8768448034923,1030.8227313707234,737.3770720163981,1039.000330935486,50,15,10,sqrt,10,gini,"{'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}",0.5189967791959919,0.6280269593224382,0.6185917509170619,0.5885384964784973,0.04932405512771742,26
96,2216.7601296106973,0.6415239643087965,1.528417666753133,0.08396978268399091,20,5,10,log2,,entropy,"{'n_estimators': 20, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.5113921030657282,0.593969939162591,0.5888282484864752,0.5647300969049315,0.03777402490111757,99
97,1526.89954662323,1020.1217925857986,3.6875409285227456,2.2109599592773814,80,15,10,sqrt,,gini,"{'n_estimators': 80, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}",0.5178933556006203,0.5960574973159967,0.593599952282962,0.5691836017331929,0.03628155539804638,60
98,84.88931194941203,0.11110756681726752,0.1421049435933431,0.00697906903571051,50,5,2,sqrt,30,entropy,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'entropy'}",0.5331325301204819,0.5855898842896338,0.5886194864453789,0.5691139669518315,0.025472762834602057,63
99,44.38802790641785,4.94152280916622,3.4185851414998374,0.45220126448910913,20,15,4,sqrt,20,log_loss,"{'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'log_loss'}",0.5161934868185614,0.592508648455207,0.5897527660970445,0.5661516337902709,0.035343656276888034,91
